Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-inera.ehds.tk.json	47931	-	0	0	0	0	0	0	16	63	0	0	0	0	0	0	0	1	0	0	134	230	0	0	0	7	0	1
fsh-generated/resources/CodeSystem-assessmentcategory-cs.json	750	1	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	34	43	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-clinicaldocumentnotecode-cs.json	1252	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	32	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-deliverycode-cs.json	906	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	6	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-diagnosistype-cs.json	625	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-errorcode-cs.json	548	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	22	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-examinationstatuscode-cs.json	1705	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fetalpositioncode-cs.json	859	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	24	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-maternity-section.json	1073	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	7	22	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-nonreplaceable-cs.json	723	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	18	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-prescriptionstatus-cs.json	751	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	20	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-referraloutcometypecode-cs.json	682	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	17	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-resultcode-cs.json	759	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	18	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-sexcode-cs.json	808	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	6	17	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-typeofcareplan-cs.json	1253	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	20	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-typeofleavecode-cs.json	750	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-typeofprescription-cs.json	739	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	16	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-typeofresultcode-cs.json	744	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	17	0	0	0	0	0	0
fsh-generated/resources/ConceptMap-observation-status-map.json	2316	1	0	0	0	0	0	0	0	454	0	0	0	0	1	0	0	0	0	0	9	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-alert-ascertained-date.json	1454	2	0	9	0	0	0	0	0	324	0	0	0	0	0	0	1	0	0	0	29	406	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-alert-asserted-date.json	1476	1	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	30	98	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-alert-asserter.json	1595	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	24	92	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alert-degree-of-certainty.json	1516	1	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	20	74	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-alert-degree-of-severity.json	1568	2	0	6	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	26	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alert-information-comment.json	1832	1	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	27	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alert-pharmaceutical-hypersensitivity.json	3509	1	0	11	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	56	110	0	0	0	3	1	0
fsh-generated/resources/StructureDefinition-alert-pharmaceutical-treatment.json	1625	1	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	22	65	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alert-restriction-of-care-comment.json	1610	1	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	31	64	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alert-route-of-transmission.json	1434	1	0	5	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	20	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alert-treatment-description.json	1534	1	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-alert-verified-time.json	1428	1	0	5	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	26	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-approved-for-patient.json	1385	1	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	19	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-device-source-system-contact.json	2726	2	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	49	116	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-immunization-is-dose-complete.json	1438	1	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-immunization-legal-authenticator.json	2956	1	0	9	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	50	77	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-immunization-patient-postal-code.json	1463	1	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	54	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-immunization-registration-device.json	1822	1	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	34	58	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-inera-ehds-allergy-intolerance.json	6226	2	0	36	0	0	0	0	0	20	0	0	0	0	1	0	0	0	0	0	170	262	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-inera-ehds-audit-event.json	3624	2	0	30	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	131	170	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-inera-ehds-care-plan.json	3993	2	0	27	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	122	235	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-inera-ehds-condition-diagnosis.json	7141	2	0	44	0	0	0	0	0	74	0	0	0	0	0	0	0	1	0	0	200	1615	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-inera-ehds-condition-functional.json	4145	2	0	24	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	115	250	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-inera-ehds-device.json	3749	1	0	28	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	128	190	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-inera-ehds-diagnostic-report-imaging.json	4190	2	0	21	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	90	129	0	0	0	6	1	1
